# Total velocity (m/s),Mass (kg),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (mm),CG location (mm)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
0.009,9.376,2.773,0.015,NaN,1333.255
0.011,9.375,2.772,0.015,NaN,1333.229
0.042,9.375,2.772,0.015,NaN,1333.202
0.094,9.374,2.772,0.015,NaN,1333.176
0.166,9.373,2.772,0.015,NaN,1333.149
0.258,9.372,2.772,0.015,NaN,1333.122
0.37,9.372,2.772,0.015,NaN,1333.096
0.503,9.371,2.772,0.015,NaN,1333.069
0.656,9.37,2.772,0.015,NaN,1333.043
0.83,9.369,2.772,0.015,NaN,1333.016
1.024,9.369,2.772,0.015,NaN,1332.989
1.238,9.368,2.771,0.015,NaN,1332.963
1.473,9.367,2.771,0.015,NaN,1332.936
1.728,9.367,2.771,0.015,NaN,1332.91
2.003,9.366,2.771,0.015,NaN,1332.883
# Event LIFTOFF occurred at t=0.032 seconds
2.293,9.364,2.771,0.015,NaN,1332.824
2.592,9.362,2.771,0.015,NaN,1332.765
2.901,9.361,2.77,0.015,NaN,1332.706
3.218,9.359,2.77,0.015,NaN,1332.648
3.544,9.358,2.77,0.015,NaN,1332.589
3.88,9.356,2.77,0.015,NaN,1332.53
4.225,9.354,2.769,0.015,NaN,1332.471
4.571,9.353,2.769,0.015,NaN,1332.41
4.911,9.351,2.769,0.015,NaN,1332.349
5.244,9.349,2.769,0.015,NaN,1332.287
5.572,9.347,2.768,0.015,NaN,1332.226
5.893,9.346,2.768,0.015,NaN,1332.165
6.208,9.344,2.768,0.015,NaN,1332.104
6.52,9.342,2.768,0.015,NaN,1332.044
6.834,9.341,2.767,0.015,NaN,1331.985
7.15,9.339,2.767,0.015,NaN,1331.925
7.467,9.338,2.767,0.015,NaN,1331.866
7.785,9.336,2.767,0.015,NaN,1331.807
8.105,9.334,2.766,0.015,NaN,1331.747
8.426,9.333,2.766,0.015,NaN,1331.688
8.749,9.331,2.766,0.015,NaN,1331.628
9.074,9.329,2.766,0.015,NaN,1331.569
9.399,9.328,2.766,0.015,NaN,1331.509
9.727,9.326,2.765,0.015,NaN,1331.45
10.054,9.324,2.765,0.015,NaN,1331.389
10.382,9.323,2.765,0.015,NaN,1331.329
10.709,9.321,2.765,0.015,NaN,1331.268
11.036,9.319,2.764,0.015,NaN,1331.208
11.363,9.318,2.764,0.015,NaN,1331.148
11.689,9.316,2.764,0.015,NaN,1331.087
12.015,9.314,2.764,0.015,NaN,1331.027
12.341,9.313,2.763,0.015,NaN,1330.966
12.666,9.311,2.763,0.015,NaN,1330.906
12.991,9.309,2.763,0.015,NaN,1330.845
13.316,9.308,2.763,0.015,NaN,1330.784
13.64,9.306,2.762,0.015,NaN,1330.724
13.964,9.304,2.762,0.015,NaN,1330.663
14.288,9.303,2.762,0.015,NaN,1330.603
14.612,9.301,2.762,0.015,NaN,1330.542
14.935,9.299,2.761,0.015,NaN,1330.481
15.258,9.298,2.761,0.015,NaN,1330.421
15.58,9.296,2.761,0.015,NaN,1330.36
15.903,9.294,2.761,0.015,NaN,1330.299
16.226,9.293,2.76,0.015,NaN,1330.238
16.549,9.291,2.76,0.015,NaN,1330.176
16.872,9.289,2.76,0.015,NaN,1330.115
17.196,9.288,2.76,0.015,NaN,1330.054
17.521,9.286,2.759,0.015,NaN,1329.993
17.845,9.284,2.759,0.015,NaN,1329.931
18.171,9.283,2.759,0.015,NaN,1329.87
18.496,9.281,2.759,0.015,NaN,1329.809
18.823,9.279,2.758,0.015,NaN,1329.747
19.149,9.278,2.758,0.015,NaN,1329.686
19.476,9.276,2.758,0.015,NaN,1329.625
19.803,9.274,2.758,0.015,NaN,1329.563
20.131,9.272,2.757,0.015,NaN,1329.502
20.459,9.271,2.757,0.015,NaN,1329.44
20.788,9.269,2.757,0.015,NaN,1329.379
21.117,9.267,2.757,0.015,NaN,1329.317
21.447,9.266,2.756,0.015,NaN,1329.256
21.777,9.264,2.756,0.015,NaN,1329.194
22.107,9.262,2.756,0.015,NaN,1329.132
22.438,9.261,2.756,0.015,NaN,1329.071
22.769,9.259,2.755,0.015,NaN,1329.009
23.1,9.257,2.755,0.015,NaN,1328.948
23.432,9.256,2.755,0.015,NaN,1328.886
23.765,9.254,2.755,0.015,NaN,1328.824
24.098,9.252,2.754,0.015,NaN,1328.763
24.431,9.251,2.754,0.015,NaN,1328.701
